figure_a_id,figure_a_name,figure_a_retailer,figure_a_sku,figure_b_id,figure_b_name,figure_b_retailer,figure_b_sku,brand_block,jaccard,item_number_match,is_match,notes
369,[Exclusive Sale] [Bonus] PLAMATEA Cutie Honey Nova Black Honey Plastic Model,amiami,FIGURE-203769,384,Cutie Honey Nova Pop Up Parade SP Cutie Honey,bbts,191317,good smile,0.25,0,,
61,[Exclusive Sale] figma The Legend of Zelda Link: Tears of the Kingdom ver. DX Edition,amiami,FIGURE-198872,200,The Legend of Zelda: Tears of the Kingdom figma No.632 Ganondorf,bbts,144249,good smile,0.3636,0,,
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,155,Blue Archive Nendoroid Surprise Blue Archive Boxed Set of 6 Figures with Random Accessories,bbts,190772,good smile,0.25,0,,
35,[Exclusive Sale] Nendoroid Okami Shiranui DX Ver.,amiami,FIGURE-203387,146,Okami Nendoroid No.1697 Shiranui (DX Ver.) (Reissue),bbts,190771,max factory,0.5,0,,
71,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Bikini Armor ver.,amiami,FIGURE-190169,199,Bunny Suit Planning figma No.530 Sophia F. Shirring,bbts,86606,max factory,0.4545,0,,
65,figma NieR:Automata Ver1.1a 2B (YoRHa No.2 Type B),amiami,FIGURE-179176,173,Uma Musume: Pretty Derby figma No.584 Gold Ship Action Figure (Reissue),bbts,186175,max factory,0.0714,0,,
45,[Exclusive Sale] figma Girls' Frontline 2: Exilium Klukai,amiami,FIGURE-203671,390,Girls' Frontline 2: Exilium figma No.691 Klukai Action Figure,bbts,191316,max factory,0.5714,0,,
43,[Exclusive Sale] figma ELDEN RING Spirit Steed Torrent,amiami,FIGURE-202440,158,"Elden Ring figma No.685 Torrent, the Spectral Steed Action Figure",bbts,189762,max factory,0.4444,0,,
31,[Exclusive Sale] Nendoroid Okami Amaterasu DX Ver.,amiami,FIGURE-203386,181,Bunny Suit Planning figma No.674 Sophia F. Shirring (Swimsuit Ver.) Action Figure,bbts,177090,max factory,0.0833,0,,
425,Character Vocal Series 01 Hatsune Miku: Music & Fire Works Ver. 1/7 Complete Figure,amiami,FIGURE-203933,142,Vocaloid Character Vocal Series 01: Hatsune Miku Nendoroid Doll Sakura Miku (Hirohako 2025 Ver.) (Hakodate),bbts,190109,good smile,0.3529,0,,
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,404,Rebuild of Evangelion Nendoroid No.1197 Rei Ayanami (2nd Reissue),bbts,191494,good smile,0.0,0,,
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,168,Metroid: Other M figma No.306 Samus Aran (Zero Suit Ver.) Action Figure (Reissue),bbts,159980,good smile,0.7,0,,
425,Character Vocal Series 01 Hatsune Miku: Music & Fire Works Ver. 1/7 Complete Figure,amiami,FIGURE-203933,144,Vocaloid Character Vocal Series 01: Hatsune Miku Nendoroid Doll Sakura Miku (Hirohako 2025 Ver.) (Hirosaki),bbts,190110,good smile,0.3529,0,,
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,164,Metroid: Other M figma No.133 Samus Aran Action Figure (Reissue),bbts,159979,good smile,0.4,0,,
31,[Exclusive Sale] Nendoroid Okami Amaterasu DX Ver.,amiami,FIGURE-203386,146,Okami Nendoroid No.1697 Shiranui (DX Ver.) (Reissue),bbts,190771,max factory,0.2857,0,,
17,[Exclusive Sale] Nendoroid hololive production Sakura Miko: Casual Outfit Ver.,amiami,FIGURE-201786,311,Super Dimension Century Orguss Moderoid Nikick: Standard Type (Common Soldier) Model Kit,bbts,189278,good smile,0.0,0,,
61,[Exclusive Sale] figma The Legend of Zelda Link: Tears of the Kingdom ver. DX Edition,amiami,FIGURE-198872,415,Kill la Kill Nendoroid No.2808 Ryuko Matoi (Kamui Senketsu Ver.),bbts,162567,good smile,0.0625,0,,
57,[Exclusive Sale] figma Goddess of Victory: Nikke Privaty,amiami,FIGURE-195887,108,Blue Archive Nendoroid No.2265 Shiroko Sunaookami (Reissue),bbts,189230,max factory,0.0,0,,
17,[Exclusive Sale] Nendoroid hololive production Sakura Miko: Casual Outfit Ver.,amiami,FIGURE-201786,431,Hololive Productions Nendoroid No.2963 Hakos Baelz,bbts,191710,good smile,0.0769,0,,
17,[Exclusive Sale] Nendoroid hololive production Sakura Miko: Casual Outfit Ver.,amiami,FIGURE-201786,378,League of Legends Nendoroid No.2678 Jinx (Arcane Ver.),bbts,150303,good smile,0.0714,0,,
97,Character Vocal Series 01 Hatsune Miku: Smile x Future Ver. 1/7 Complete Figure,amiami,FIGURE-202374,377,Godzilla Minus One (2023) Nendoroid No.3023 Godzilla,bbts,190760,good smile,0.0,0,,
367,[AmiAmi Exclusive Bonus] THE GATTAI DANDIVINE DANDIVINE DX DANDIVINE,amiami,FIGURE-203673,308,The Brave Express Might Gaine THE GATTAI Might Kaiser Figure (2nd Reissue),bbts,190139,good smile,0.1,0,,
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,170,Metroid Prime 3: Corruption figma No.349 Samus Aran Action Figure (Reissue),bbts,160703,good smile,0.25,0,,
71,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Bikini Armor ver.,amiami,FIGURE-190169,160,Metal Gear Solid 2: Sons of Liberty figma No.645 Solid Snake (MGS2 Ver. Updated Edition),bbts,151154,max factory,0.05,0,,
59,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Swimsuit ver.,amiami,FIGURE-195018,181,Bunny Suit Planning figma No.674 Sophia F. Shirring (Swimsuit Ver.) Action Figure,bbts,177090,max factory,0.7,0,,
425,Character Vocal Series 01 Hatsune Miku: Music & Fire Works Ver. 1/7 Complete Figure,amiami,FIGURE-203933,405,"The Legend of Heroes: Trails of Cold Steel Moderoid Testa-Rossa, the Vermillion Knight Model Kit",bbts,191498,good smile,0.0,0,,
425,Character Vocal Series 01 Hatsune Miku: Music & Fire Works Ver. 1/7 Complete Figure,amiami,FIGURE-203933,152,Vocaloid Nendoroid No.3068 Hatsune Miku (Mesmerizer Ver.),bbts,190763,good smile,0.1333,0,,
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,385,Beast King War God Dandivine The GATTAI DX Dandivine Figure,bbts,191360,good smile,0.0,0,,
65,figma NieR:Automata Ver1.1a 2B (YoRHa No.2 Type B),amiami,FIGURE-179176,175,Bio-Booster Armor Guyver figma No.680 Gigantic Dark Action Figure,bbts,184297,max factory,0.0714,0,,
425,Character Vocal Series 01 Hatsune Miku: Music & Fire Works Ver. 1/7 Complete Figure,amiami,FIGURE-203933,127,Vocaloid Nendoroid No.2430 Hatsune Miku (World is Mine 2024 Ver.) (Reissue),bbts,190330,good smile,0.1111,0,,
49,[Exclusive Sale] figma Blue Archive Yuuka Hayase,amiami,FIGURE-202894,165,Blue Archive figma No.630 Yuuka Hayase Action Figure (Reissue),bbts,190483,max factory,0.5714,0,,
97,Character Vocal Series 01 Hatsune Miku: Smile x Future Ver. 1/7 Complete Figure,amiami,FIGURE-202374,142,Vocaloid Character Vocal Series 01: Hatsune Miku Nendoroid Doll Sakura Miku (Hirohako 2025 Ver.) (Hakodate),bbts,190109,good smile,0.4,0,,
367,[AmiAmi Exclusive Bonus] THE GATTAI DANDIVINE DANDIVINE DX DANDIVINE,amiami,FIGURE-203673,385,Beast King War God Dandivine The GATTAI DX Dandivine Figure,bbts,191360,good smile,0.25,0,,
422,[Exclusive Sale] Nendoroid hololive production Hakos Baelz,amiami,FIGURE-203927,431,Hololive Productions Nendoroid No.2963 Hakos Baelz,bbts,191710,good smile,0.375,0,,
35,[Exclusive Sale] Nendoroid Okami Shiranui DX Ver.,amiami,FIGURE-203387,370,Okami Nendoroid No.1365 Amaterasu (DX Ver.) (Reissue),bbts,190769,max factory,0.2857,0,,
65,figma NieR:Automata Ver1.1a 2B (YoRHa No.2 Type B),amiami,FIGURE-179176,108,Blue Archive Nendoroid No.2265 Shiroko Sunaookami (Reissue),bbts,189230,max factory,0.0833,0,,
49,[Exclusive Sale] figma Blue Archive Yuuka Hayase,amiami,FIGURE-202894,370,Okami Nendoroid No.1365 Amaterasu (DX Ver.) (Reissue),bbts,190769,max factory,0.0,0,,
71,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Bikini Armor ver.,amiami,FIGURE-190169,181,Bunny Suit Planning figma No.674 Sophia F. Shirring (Swimsuit Ver.) Action Figure,bbts,177090,max factory,0.5,0,,
71,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Bikini Armor ver.,amiami,FIGURE-190169,190,FALSLANDER figma No.579 Hemet Nethel,bbts,111474,max factory,0.0,0,,
425,Character Vocal Series 01 Hatsune Miku: Music & Fire Works Ver. 1/7 Complete Figure,amiami,FIGURE-203933,388,Vocaloid Character Vocal Series 01: Hatsune Miku with SOLWA 1/7 Scale Figure (Reissue),bbts,189981,good smile,0.4615,0,,
35,[Exclusive Sale] Nendoroid Okami Shiranui DX Ver.,amiami,FIGURE-203387,181,Bunny Suit Planning figma No.674 Sophia F. Shirring (Swimsuit Ver.) Action Figure,bbts,177090,max factory,0.0833,0,,
97,Character Vocal Series 01 Hatsune Miku: Smile x Future Ver. 1/7 Complete Figure,amiami,FIGURE-202374,135,Urban Myth Dissolution Center Nendoroid No.2796 Azami Fukurai,bbts,190767,good smile,0.0,0,,
363,[Exclusive Sale] figma Fate/stay night [Heaven's Feel] Saber Alter 2.0,amiami,FIGURE-192493,177,Fate/Grand Order figma No.560 Berserker (Miyamoto Musashi),bbts,101256,max factory,0.0667,0,,
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,134,Blue Archive Nendoroid No.3064 Nozomi Tachibana,bbts,189974,good smile,0.2,0,,
52,[Exclusive Sale] figma Frieren: Beyond Journey's End Frieren DX Edition,amiami,FIGURE-188691,159,Doom: The Dark Ages figma No.683DX Doom Slayer (DX Edition) Action Figure,bbts,187815,good smile,0.0833,0,,
31,[Exclusive Sale] Nendoroid Okami Amaterasu DX Ver.,amiami,FIGURE-203386,131,Okami Nendoroid No.1697 Shiranui (Reissue),bbts,190770,max factory,0.1429,0,,
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,202,Bunny Suit Planning figma No.594 Sophia F. Shirring (Bikini Armor Ver.),bbts,119653,good smile,0.125,0,,
59,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Swimsuit ver.,amiami,FIGURE-195018,146,Okami Nendoroid No.1697 Shiranui (DX Ver.) (Reissue),bbts,190771,max factory,0.0833,0,,
71,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Bikini Armor ver.,amiami,FIGURE-190169,162,Bunny Suit Planning figma No.689 Silva Barrelline Action Figure,bbts,190902,max factory,0.2308,0,,
35,[Exclusive Sale] Nendoroid Okami Shiranui DX Ver.,amiami,FIGURE-203387,131,Okami Nendoroid No.1697 Shiranui (Reissue),bbts,190770,max factory,0.3333,0,,
59,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Swimsuit ver.,amiami,FIGURE-195018,199,Bunny Suit Planning figma No.530 Sophia F. Shirring,bbts,86606,max factory,0.5,0,,
41,[Exclusive Sale] figma BUNNY SUIT PLANNING Silva Barrelline,amiami,FIGURE-203462,162,Bunny Suit Planning figma No.689 Silva Barrelline Action Figure,bbts,190902,max factory,0.625,0,,
