figure_a_id,figure_a_name,figure_a_retailer,figure_a_sku,figure_b_id,figure_b_name,figure_b_retailer,figure_b_sku,brand_block,jaccard,item_number_match,is_match,notes
76,[Exclusive Sale] figma Bio Booster Armor Guyver Gigantic Dark,amiami,FIGURE-199578,180,Female figma No.534 Bikini Armor (Makoto),bbts,88652,max factory,0.0833,0,0,edition conflict: A-only=[] B-only=['\\bbikini\\b']
97,Character Vocal Series 01 Hatsune Miku: Smile x Future Ver. 1/7 Complete Figure,amiami,FIGURE-202374,377,Godzilla Minus One (2023) Nendoroid No.3023 Godzilla,bbts,190760,good smile,0.0,0,0,edition conflict: A-only=['ver\\s*\\.\\s*\\d+'] B-only=[]
59,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Swimsuit ver.,amiami,FIGURE-195018,199,Bunny Suit Planning figma No.530 Sophia F. Shirring,bbts,86606,max factory,0.5,0,0,edition conflict: A-only=['\\bswimsuit\\b'] B-only=[]
52,[Exclusive Sale] figma Frieren: Beyond Journey's End Frieren DX Edition,amiami,FIGURE-188691,155,Blue Archive Nendoroid Surprise Blue Archive Boxed Set of 6 Figures with Random Accessories,bbts,190772,good smile,0.0,0,0,edition conflict: A-only=['\\bdx\\b'] B-only=[]
97,Character Vocal Series 01 Hatsune Miku: Smile x Future Ver. 1/7 Complete Figure,amiami,FIGURE-202374,144,Vocaloid Character Vocal Series 01: Hatsune Miku Nendoroid Doll Sakura Miku (Hirohako 2025 Ver.) (Hirosaki),bbts,190110,good smile,0.4,0,0,"edition conflict: A-only=['ver\\s*\\.\\s*\\d+'] B-only=['\\bhirohako\\b', '\\bhirosaki\\b', '\\bsakura\\b']"
65,figma NieR:Automata Ver1.1a 2B (YoRHa No.2 Type B),amiami,FIGURE-179176,173,Uma Musume: Pretty Derby figma No.584 Gold Ship Action Figure (Reissue),bbts,186175,max factory,0.0714,0,0,low overlap=0.06
47,[Exclusive Sale] figma Fate/Grand Order Berserker/Morgan,amiami,FIGURE-200094,179,Fate/Grand Oder figma No.682 Berserker/Morgan Action Figure,bbts,186482,max factory,0.4444,0,1,token overlap=0.56
425,Character Vocal Series 01 Hatsune Miku: Music & Fire Works Ver. 1/7 Complete Figure,amiami,FIGURE-203933,388,Vocaloid Character Vocal Series 01: Hatsune Miku with SOLWA 1/7 Scale Figure (Reissue),bbts,189981,good smile,0.4615,0,0,edition conflict: A-only=['ver\\s*\\.\\s*\\d+'] B-only=[]
363,[Exclusive Sale] figma Fate/stay night [Heaven's Feel] Saber Alter 2.0,amiami,FIGURE-192493,177,Fate/Grand Order figma No.560 Berserker (Miyamoto Musashi),bbts,101256,max factory,0.0667,0,0,low overlap=0.11
31,[Exclusive Sale] Nendoroid Okami Amaterasu DX Ver.,amiami,FIGURE-203386,370,Okami Nendoroid No.1365 Amaterasu (DX Ver.) (Reissue),bbts,190769,max factory,0.5,0,1,token overlap=0.62
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,304,Blue Archive Moderoid Daath Model Kit,bbts,189777,good smile,0.25,0,0,low overlap=0.18
17,[Exclusive Sale] Nendoroid hololive production Sakura Miko: Casual Outfit Ver.,amiami,FIGURE-201786,311,Super Dimension Century Orguss Moderoid Nikick: Standard Type (Common Soldier) Model Kit,bbts,189278,good smile,0.0,0,0,"edition conflict: A-only=['\\bcasual\\b', '\\bsakura\\b'] B-only=[]"
425,Character Vocal Series 01 Hatsune Miku: Music & Fire Works Ver. 1/7 Complete Figure,amiami,FIGURE-203933,418,Vocaloid Hatsune Miku (Music & Fire Works Ver.) 1/7 Scale Figure,bbts,191650,good smile,0.4545,0,1,edition conflict: A-only=['ver\\s*\\.\\s*\\d+'] B-only=[]
67,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Updated ver.,amiami,FIGURE-196242,162,Bunny Suit Planning figma No.689 Silva Barrelline Action Figure,bbts,190902,max factory,0.25,0,0,edition conflict: A-only=['\\bupdated\\b'] B-only=[]
65,figma NieR:Automata Ver1.1a 2B (YoRHa No.2 Type B),amiami,FIGURE-179176,108,Blue Archive Nendoroid No.2265 Shiroko Sunaookami (Reissue),bbts,189230,max factory,0.0833,0,0,low overlap=0.00
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,164,Metroid: Other M figma No.133 Samus Aran Action Figure (Reissue),bbts,159979,good smile,0.4,0,0,"edition conflict: A-only=['\\bsuit\\b', '\\bzero suit\\b'] B-only=[]"
31,[Exclusive Sale] Nendoroid Okami Amaterasu DX Ver.,amiami,FIGURE-203386,375,Okami Nendoroid No.1365 Amaterasu (Reissue),bbts,190768,max factory,0.3333,0,0,edition conflict: A-only=['\\bdx\\b'] B-only=[]
65,figma NieR:Automata Ver1.1a 2B (YoRHa No.2 Type B),amiami,FIGURE-179176,180,Female figma No.534 Bikini Armor (Makoto),bbts,88652,max factory,0.0833,0,0,"edition conflict: A-only=[] B-only=['\\barmor\\b', '\\bbikini\\b']"
54,[Exclusive Sale] figma Fire Emblem: Three Houses Byleth (Female),amiami,FIGURE-186842,111,Vocaloid Nendoroid No.3065 Hatsune Miku (HMO Ver.),bbts,190487,good smile,0.0,0,0,edition conflict: A-only=[] B-only=['\\bhmo\\b']
50,[Exclusive Sale] figma Girls' Frontline 2: Exilium Tololo,amiami,FIGURE-201398,390,Girls' Frontline 2: Exilium figma No.691 Klukai Action Figure,bbts,191316,max factory,0.375,0,0,token overlap=0.56
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,142,Vocaloid Character Vocal Series 01: Hatsune Miku Nendoroid Doll Sakura Miku (Hirohako 2025 Ver.) (Hakodate),bbts,190109,good smile,0.05,0,0,"edition conflict: A-only=['\\bsuit\\b', '\\bzero suit\\b'] B-only=['\\bhakodate\\b', '\\bhirohako\\b', '\\bsakura\\b']"
367,[AmiAmi Exclusive Bonus] THE GATTAI DANDIVINE DANDIVINE DX DANDIVINE,amiami,FIGURE-203673,128,Goddess of Victory: Nikke Nendoroid No.3003 Blanc,bbts,190904,good smile,0.0,0,0,edition conflict: A-only=['\\bdx\\b'] B-only=[]
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,168,Metroid: Other M figma No.306 Samus Aran (Zero Suit Ver.) Action Figure (Reissue),bbts,159980,good smile,0.7,0,1,token overlap=0.75
59,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Swimsuit ver.,amiami,FIGURE-195018,181,Bunny Suit Planning figma No.674 Sophia F. Shirring (Swimsuit Ver.) Action Figure,bbts,177090,max factory,0.7,0,1,token overlap=0.82
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,415,Kill la Kill Nendoroid No.2808 Ryuko Matoi (Kamui Senketsu Ver.),bbts,162567,good smile,0.0625,0,0,"edition conflict: A-only=['\\bsuit\\b', '\\bzero suit\\b'] B-only=[]"
55,[Exclusive Sale] figma Umamusume Pretty Derby Gold Ship,amiami,FIGURE-199924,173,Uma Musume: Pretty Derby figma No.584 Gold Ship Action Figure (Reissue),bbts,186175,max factory,0.4,0,1,token overlap=0.45
17,[Exclusive Sale] Nendoroid hololive production Sakura Miko: Casual Outfit Ver.,amiami,FIGURE-201786,378,League of Legends Nendoroid No.2678 Jinx (Arcane Ver.),bbts,150303,good smile,0.0714,0,0,"edition conflict: A-only=['\\bcasual\\b', '\\bsakura\\b'] B-only=[]"
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,385,Beast King War God Dandivine The GATTAI DX Dandivine Figure,bbts,191360,good smile,0.0,0,0,edition conflict: A-only=[] B-only=['\\bdx\\b']
41,[Exclusive Sale] figma BUNNY SUIT PLANNING Silva Barrelline,amiami,FIGURE-203462,162,Bunny Suit Planning figma No.689 Silva Barrelline Action Figure,bbts,190902,max factory,0.625,0,1,token overlap=0.75
51,figma The Amazing Digital Circus Pomni,amiami,FIGURE-201544,161,The Amazing Digital Circus figma No.SP-176 Pomni Action Figure,bbts,188248,freeing,0.5714,0,1,token overlap=0.83
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,127,Vocaloid Nendoroid No.2430 Hatsune Miku (World is Mine 2024 Ver.) (Reissue),bbts,190330,good smile,0.0588,0,0,"edition conflict: A-only=['\\bsuit\\b', '\\bzero suit\\b'] B-only=[]"
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,170,Metroid Prime 3: Corruption figma No.349 Samus Aran Action Figure (Reissue),bbts,160703,good smile,0.25,0,0,"edition conflict: A-only=['\\bsuit\\b', '\\bzero suit\\b'] B-only=[]"
97,Character Vocal Series 01 Hatsune Miku: Smile x Future Ver. 1/7 Complete Figure,amiami,FIGURE-202374,135,Urban Myth Dissolution Center Nendoroid No.2796 Azami Fukurai,bbts,190767,good smile,0.0,0,0,edition conflict: A-only=['ver\\s*\\.\\s*\\d+'] B-only=[]
425,Character Vocal Series 01 Hatsune Miku: Music & Fire Works Ver. 1/7 Complete Figure,amiami,FIGURE-203933,433,Vocaloid Nendoroid No.1309 Hatsune Miku V4X (Reissue),bbts,191708,good smile,0.1429,0,0,edition conflict: A-only=['ver\\s*\\.\\s*\\d+'] B-only=[]
76,[Exclusive Sale] figma Bio Booster Armor Guyver Gigantic Dark,amiami,FIGURE-199578,176,Bio-Booster Armor Guyver figma No.600 Guyver I (Ultimate Edition) Action Figure (Reissue),bbts,186328,max factory,0.3636,0,0,edition conflict: A-only=[] B-only=['\\bultimate\\b']
35,[Exclusive Sale] Nendoroid Okami Shiranui DX Ver.,amiami,FIGURE-203387,181,Bunny Suit Planning figma No.674 Sophia F. Shirring (Swimsuit Ver.) Action Figure,bbts,177090,max factory,0.0833,0,0,"edition conflict: A-only=['\\bdx\\b'] B-only=['\\bsuit\\b', '\\bswimsuit\\b']"
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,163,Blue Archive figma No.686 Saori Joumae Action Figure,bbts,189763,good smile,0.2,0,0,low overlap=0.17
49,[Exclusive Sale] figma Blue Archive Yuuka Hayase,amiami,FIGURE-202894,165,Blue Archive figma No.630 Yuuka Hayase Action Figure (Reissue),bbts,190483,max factory,0.5714,0,1,token overlap=0.62
61,[Exclusive Sale] figma The Legend of Zelda Link: Tears of the Kingdom ver. DX Edition,amiami,FIGURE-198872,200,The Legend of Zelda: Tears of the Kingdom figma No.632 Ganondorf,bbts,144249,good smile,0.3636,0,0,edition conflict: A-only=['\\bdx\\b'] B-only=[]
369,[Exclusive Sale] [Bonus] PLAMATEA Cutie Honey Nova Black Honey Plastic Model,amiami,FIGURE-203769,406,Cutie Honey Nova PLAMATEA Black Honey Model Kit,bbts,191499,good smile,0.625,0,1,token overlap=0.56
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,133,Blue Archive Nendoroid No.3063 Hikari Tachibana,bbts,189975,good smile,0.2,0,0,mystery box != specific figure
59,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Swimsuit ver.,amiami,FIGURE-195018,162,Bunny Suit Planning figma No.689 Silva Barrelline Action Figure,bbts,190902,max factory,0.25,0,0,edition conflict: A-only=['\\bswimsuit\\b'] B-only=[]
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,202,Bunny Suit Planning figma No.594 Sophia F. Shirring (Bikini Armor Ver.),bbts,119653,good smile,0.125,0,0,"edition conflict: A-only=['\\bzero suit\\b'] B-only=['\\barmor\\b', '\\bbikini\\b']"
363,[Exclusive Sale] figma Fate/stay night [Heaven's Feel] Saber Alter 2.0,amiami,FIGURE-192493,175,Bio-Booster Armor Guyver figma No.680 Gigantic Dark Action Figure,bbts,184297,max factory,0.0,0,0,edition conflict: A-only=[] B-only=['\\barmor\\b']
61,[Exclusive Sale] figma The Legend of Zelda Link: Tears of the Kingdom ver. DX Edition,amiami,FIGURE-198872,150,Clannad Nendoroid No.869 Nagisa Furukawa (Reissue),bbts,190108,good smile,0.0,0,0,edition conflict: A-only=['\\bdx\\b'] B-only=[]
97,Character Vocal Series 01 Hatsune Miku: Smile x Future Ver. 1/7 Complete Figure,amiami,FIGURE-202374,387,Vocaloid Hatsune Miku (Smile x Future Ver.) 1/7 Scale Figure,bbts,189541,good smile,0.3333,0,1,edition conflict: A-only=['ver\\s*\\.\\s*\\d+'] B-only=[]
67,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Updated ver.,amiami,FIGURE-196242,181,Bunny Suit Planning figma No.674 Sophia F. Shirring (Swimsuit Ver.) Action Figure,bbts,177090,max factory,0.5455,0,0,edition conflict: A-only=['\\bupdated\\b'] B-only=['\\bswimsuit\\b']
47,[Exclusive Sale] figma Fate/Grand Order Berserker/Morgan,amiami,FIGURE-200094,178,Fate/Grand Order figma No.559 Saber/Nero Claudius (Bride),bbts,100276,max factory,0.25,0,0,different FGO figures: Morgan vs Nero
70,[Exclusive Sale] figma The Witcher 3 Wild Hunt Geralt,amiami,FIGURE-187602,387,Vocaloid Hatsune Miku (Smile x Future Ver.) 1/7 Scale Figure,bbts,189541,good smile,0.0,0,0,low overlap=0.00
31,[Exclusive Sale] Nendoroid Okami Amaterasu DX Ver.,amiami,FIGURE-203386,146,Okami Nendoroid No.1697 Shiranui (DX Ver.) (Reissue),bbts,190771,max factory,0.2857,0,0,different Okami characters: Amaterasu vs Shiranui
